Altium Designer Pick and Place Locations
C:\Users\marko\OneDrive - Univerza v Ljubljani\Pedagogika\OME\Razvojni sistem\Misko v3.1\PCB\v1.1\Project Outputs for MISKO3\Pick Place for Misko 3 1.1.csv

========================================================================================================================
File Design Information:

Date:       23/02/23
Time:       09:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Code","Value","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"U5","KLCD-XPT2046","","TopLayer","TSSOP16","2598.425","1584.646","180"
"IC1","","","TopLayer","W25Q128JVSIM","2539.324","409.429","0"
"U3","FC-USB2422MJ","","TopLayer","FP-24-S4QFN-4x4B-0_5P-IPC_C","1286.667","950.095","180"
"U9","BSTM32G474QET6","","TopLayer","QFP40P1600X1600X160-128N","2847.855","1032.402","0"
"U4","BSTM32F103CBT6","","TopLayer","STM-LQFP48_L","1593.754","1355.607","270"
"D1","KDSP3051","","TopLayer","FP-SP3051-IPC_C","797.985","380.040","90"
"SB5","","","TopLayer","SOLDER_JUMPER","2076.772","1692.913","180"
"SB7","","","TopLayer","SOLDER_JUMPER","2834.646","515.748","0"
"SB6","","","TopLayer","SOLDER_JUMPER","3224.016","380.183","0"
"SB4","","","TopLayer","SOLDER_JUMPER","1750.609","693.947","180"
"SB3","","","TopLayer","SOLDER_JUMPER","1750.609","629.646","180"
"SB2","","","TopLayer","SOLDER_JUMPER","1750.609","563.426","180"
"SB1","","","TopLayer","SOLDER_JUMPER","1750.609","500.534","180"
"LED5","KLC-R","","TopLayer","LED0603","718.504","1720.472","270"
"LED2","KLC-R","","TopLayer","LED0603","972.053","250.323","90"
"D6","KD-PESD1LIN","","TopLayer","PESD1LIN_footprint","3226.160","1344.461","0"
"D7","KD-NUP2125","","TopLayer","SOT23127P600-8N","3360.236","359.252","270"
"U2","FS-MIC2544","","TopLayer","SOIC_8_MIC2544","1310.244","503.937","0"
"U8","FC-MCP2562FD","","TopLayer","FP-C04-057-SN-MFG","3348.144","598.178","270"
"U7","FC-TJA1027","","TopLayer","SOIC127P600X175-8N","3193.083","1548.398","0"
